DBN,schoolyear,% of cohort,fl_percent,frl_percent,total_enrollment,grade9,grade10,grade11,grade12,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,has_junior_high,total_elem,total_kg,has_kg,has_elem,total_junior_high,only_hs,levels_not_hs
02M432,2010,76.6,0.0,60.0,141,141.0,0.0,0.0,0.0,9.2,22.7,8.5,46.1,38.3,5.7,56.7,43.3,0,0.0,0.0,0,0,0.0,1,0
08X405,2010,66.8,0.0,80.7,3925,1481.0,1085.0,719.0,640.0,9.7,18.7,6.8,22.5,61.3,8.8,58.9,41.1,0,0.0,0.0,0,0,0.0,1,0
10X433,2005,65.1,74.5,0.0,493,157.0,132.0,121.0,83.0,8.5,8.5,1.4,34.5,59.8,2.4,28.8,71.2,0,0.0,0.0,0,0,0.0,1,0
31R470,2008,52.4,42.9,0.0,161,5.0,72.0,84.0,0.0,6.2,11.2,2.5,26.1,50.3,21.1,42.2,57.8,0,0.0,0.0,0,0,0.0,1,0
18K642,2011,74.0,0.0,76.4,305,75.0,90.0,83.0,57.0,11.1,12.5,2.3,82.3,10.5,3.9,62.6,37.4,0,0.0,0.0,0,0,0.0,1,0
10X439,2010,79.6,0.0,91.5,419,162.0,133.0,57.0,67.0,13.4,20.3,2.4,35.3,59.9,1.7,44.6,55.4,0,0.0,0.0,0,0,0.0,1,0
20K505,2007,68.9,58.1,0.0,3608,1245.0,1281.0,524.0,558.0,34.8,10.2,35.2,9.4,36.8,18.4,55.9,44.1,0,0.0,0.0,0,0,0.0,1,0
17K539,2005,82.8,70.6,0.0,218,145.0,73.0,0.0,0.0,2.3,7.8,1.8,78.9,13.3,0.9,43.1,56.9,0,0.0,0.0,0,0,0.0,1,0
10X368,2011,94.7,0.0,77.9,1126,171.0,163.0,107.0,114.0,12.1,14.3,4.0,11.9,81.9,2.0,48.9,51.1,1,0.0,0.0,0,0,571.0,0,1
21K525,2010,88.7,0.0,19.6,4019,1231.0,1243.0,731.0,814.0,9.1,13.8,25.6,24.9,17.0,32.2,41.8,58.2,0,0.0,0.0,0,0,0.0,1,0
19K504,2009,70.2,0.0,74.9,443,142.0,139.0,88.0,74.0,5.2,13.8,1.1,75.2,21.7,0.7,53.5,46.5,0,0.0,0.0,0,0,0.0,1,0
17K533,2010,79.1,0.0,81.3,429,77.0,71.0,90.0,78.0,3.7,14.5,0.2,90.4,7.2,1.2,49.2,50.8,1,0.0,0.0,0,0,113.0,0,1
09X543,2007,78.0,88.4,0.0,206,73.0,52.0,40.0,41.0,8.3,15.5,0.0,34.5,62.1,1.0,10.7,89.3,0,0.0,0.0,0,0,0.0,1,0
14K474,2005,71.6,61.2,0.0,1089,364.0,352.0,195.0,178.0,12.2,12.8,1.3,31.9,63.9,1.8,44.2,55.8,0,0.0,0.0,0,0,0.0,1,0
02M600,2006,93.9,67.7,0.0,1667,513.0,512.0,408.0,234.0,3.2,9.4,3.8,34.2,51.7,5.3,8.7,91.3,0,0.0,0.0,0,0,0.0,1,0
08X305,2006,61.0,68.6,0.0,357,107.0,110.0,99.0,41.0,13.2,12.3,2.0,26.1,71.4,0.0,69.2,30.8,0,0.0,0.0,0,0,0.0,1,0
02M414,2010,100.0,0.0,47.4,440,109.0,130.0,106.0,95.0,0.9,11.1,33.4,14.1,35.9,16.4,42.7,57.3,0,0.0,0.0,0,0,0.0,1,0
